Team Name,League,Conference,Country,City,Home Field/Stadium,Head Coach,Latitude,Longitude,Team Color,Trivia
Salzburg Ducks,Austrian Football League,1st Division,Austria,Salzburg,American Football Zentrum Salzburg,Joe Ashfield,47.7981346,13.0464806,#006600,No trivia available yet!
Prague Black Panthers,Austrian Football League,1st Division,Czech Republic,Prague,Stadion Sk Prosek,Spencer Ford,50.0874654,14.4212535,#000000,No trivia available yet!
Danube Dragons,Austrian Football League,1st Division,Austria,Vienna,Donaufeld Stadium,Fred Armstrong,48.2083537,16.3725042,#3A9A5B,No trivia available yet!
Swarco Raiders Tirol,Austrian Football League,1st Division,Austria,Innsbruck,Tivoli Stadion Tirol,Jim Herrmann,47.2654296,11.3927685,#A5ACAF,No trivia available yet!
Graz Giants,Austrian Football League,1st Division,Austria,Graz,Askö Stadium,Stefan Pokorny,47.0708678,15.4382786,#0046AD,No trivia available yet!
Glasgow Tigers,British American Football Association,NFC 1 Scotland,United Kingdom,"Clydebank, West Dunbartonshire",Clydebank Sports Club,Ryan Mccluskey,55.9026837,-4.4034151,#FF6600,No trivia available yet!
Manchester Titans,British American Football Association,Premiership North,United Kingdom,"Gorton, Manchester",National Speedway Stadium,George Foster,53.4689321,-2.1677485,#003399,No trivia available yet!
East Kilbride Pirates,British American Football Association,Premiership North,United Kingdom,"Giffnock, East Renfrewshire",Braidholm,Matthew Davies,55.8039361,-4.2929605,#C8102E,No trivia available yet!
Coventry Phoenix,British American Football Association,Premiership North,United Kingdom,"Coventry, Warwickshire",Butts Park Arena,Neale Mcmaster,52.6000667,-1.5830282,#6A1B9A,No trivia available yet!
Inverclyde Goliaths,British American Football Association,NFC 1 Scotland,United Kingdom,"Greenock, Inverclyde",Ravenscraig Stadium,Martin Mcclintock,55.9473423,-4.7564721,#F9A602,No trivia available yet!
Rossendale Bucks,British American Football Association,NFC 1 Scotland,United Kingdom,"Rossendale, Lancashire","Rossendale Rugby Club, Marl Pits",Robert Whewell,53.6848806,-2.2614398,#077187,No trivia available yet!
Chester Romans,British American Football Association,NFC 1 North,United Kingdom,"Chester, Cheshire",Cheshire County Sports Club,Levi Edwards,53.1908873,-2.8908955,#003366,No trivia available yet!
